feature_name,rf_builtin,rf_permutation,rf_permutation_std,p_value,score_drop,is_significant
env_std,0.13508894781562453,0.0,0.0,0.33,0.009899999999999909,False
burst_rms,0.12893571258306283,0.0,0.0,0.37,0.007899999999999907,False
env_mean,0.09128793544886767,0.0,0.0,1.0,-4.440892098500626e-16,False
low_energy_ratio,0.08182141777101946,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_bandwidth,0.06088101000667673,0.0,0.0,1.0,-4.440892098500626e-16,False
temporal_centroid,0.05580179322844666,0.003749999999999987,0.00572821961869478,0.47,0.005299999999999971,False
low_mid_ratio,0.051599042030862116,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_centroid,0.03302618139116947,0.0,0.0,1.0,-4.440892098500626e-16,False
env_kurtosis,0.027637527804690212,0.0,0.0,1.0,-4.440892098500626e-16,False
env_max,0.024688797039370748,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_flatness,0.02030314591581416,0.0,0.0,1.0,-4.440892098500626e-16,False
env_skew,0.019229146852481144,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_contrast_0,0.018517379797645093,0.0,0.0,1.0,-4.440892098500626e-16,False
env_decay_rate,0.016735399136903674,0.0,0.0,1.0,-4.440892098500626e-16,False
mid_energy_ratio,0.016307305307555794,0.0,0.0,1.0,-4.440892098500626e-16,False
resonance_skewness,0.016056928536340335,0.0,0.0,1.0,-4.440892098500626e-16,False
high_energy_ratio,0.014028665362796748,0.0,0.0,1.0,-4.440892098500626e-16,False
burst_crest_factor,0.013805489568284732,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_contrast_2,0.013236863220317065,0.0,0.0,1.0,-4.440892098500626e-16,False
damping_ratio,0.01186908789953574,0.0,0.0,1.0,-4.440892098500626e-16,False
ultra_high_ratio,0.011538701280197508,0.0,0.0,1.0,-4.440892098500626e-16,False
resonance_peak_amp,0.011425606317222732,0.0,0.0,1.0,-4.440892098500626e-16,False
ultra_high_energy_ratio,0.01108211739312601,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_contrast_3,0.011080784970351117,0.0,0.0,1.0,-4.440892098500626e-16,False
high_freq_slope,0.011052922119504916,0.0,0.0,1.0,-4.440892098500626e-16,False
high_freq_decay_rate,0.010089361973678624,0.0,0.0,1.0,-4.440892098500626e-16,False
burst_peak,0.009900489038434214,0.0,0.0,1.0,-4.440892098500626e-16,False
env_min,0.009495848726113008,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_contrast_4,0.009137214749840562,0.0,0.0,1.0,-4.440892098500626e-16,False
zero_crossing_rate,0.008882161083113068,0.0,0.0,1.0,-4.440892098500626e-16,False
resonance_energy_ratio,0.008840074153022346,0.0,0.0,1.0,-4.440892098500626e-16,False
resonance_high_ratio,0.008530022906033894,0.0,0.0,1.0,-4.440892098500626e-16,False
resonance_energy,0.00791584204915543,0.0,0.0,1.0,-4.440892098500626e-16,False
resonance_q_factor,0.007731304146402171,0.0,0.0,1.0,-4.440892098500626e-16,False
time_to_peak,0.006671347479577425,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_contrast_1,0.0053451444734816346,0.0,0.0,1.0,-4.440892098500626e-16,False
resonance_peak_freq,0.00042328042328042335,0.0,0.0,1.0,-4.440892098500626e-16,False
spectral_rolloff,0.0,0.0,0.0,1.0,-4.440892098500626e-16,False
