n_features,accuracy,accuracy_std,selected_features
1,0.8099999999999999,0.07348469228349536,env_std
2,0.8400000000000001,0.019999999999999976,"env_std, burst_rms"
3,0.86,0.020000000000000018,"env_std, burst_rms, env_mean"
4,0.8300000000000001,0.0678232998312527,"env_std, burst_rms, env_mean, low_energy_ratio"
5,0.82,0.060000000000000005,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth"
6,0.8400000000000001,0.019999999999999976,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid"
7,0.8400000000000001,0.037416573867739396,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio"
8,0.85,0.031622776601683784,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid"
9,0.85,0.031622776601683784,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis"
10,0.85,0.031622776601683784,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max"
11,0.8400000000000001,0.019999999999999976,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness"
12,0.86,0.020000000000000018,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew"
13,0.86,0.020000000000000018,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew, spectral_contrast_0"
14,0.85,0.031622776601683784,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew, spectral_contrast_0, env_decay_rate"
15,0.86,0.020000000000000018,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew, spectral_contrast_0, env_decay_rate, mid_energy_ratio"
16,0.86,0.020000000000000018,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew, spectral_contrast_0, env_decay_rate, mid_energy_ratio, resonance_skewness"
17,0.85,0.031622776601683784,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew, spectral_contrast_0, env_decay_rate, mid_energy_ratio, resonance_skewness, high_energy_ratio"
18,0.8400000000000001,0.048989794855663564,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew, spectral_contrast_0, env_decay_rate, mid_energy_ratio, resonance_skewness, high_energy_ratio, burst_crest_factor"
19,0.85,0.031622776601683784,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew, spectral_contrast_0, env_decay_rate, mid_energy_ratio, resonance_skewness, high_energy_ratio, burst_crest_factor, spectral_contrast_2"
20,0.85,0.031622776601683784,"env_std, burst_rms, env_mean, low_energy_ratio, spectral_bandwidth, temporal_centroid, low_mid_ratio, spectral_centroid, env_kurtosis, env_max, spectral_flatness, env_skew, spectral_contrast_0, env_decay_rate, mid_energy_ratio, resonance_skewness, high_energy_ratio, burst_crest_factor, spectral_contrast_2, damping_ratio"
