feature_index,gradient_saliency,integrated_gradients,gradient_std,integrated_gradients_std,feature_name
0,0.64868844,0.94526863,0.29454118,1.3124287,spectral_centroid
1,0.9078388,1.0208305,0.42845824,1.2766213,spectral_bandwidth
2,0.15167812,0.0,0.14753063,0.0,spectral_rolloff
3,0.40326518,0.3915084,0.2649877,0.4386043,spectral_flatness
4,0.29453203,0.50426406,0.27138305,0.69258606,spectral_contrast_0
5,0.4503487,0.50715315,0.22484435,0.68935347,spectral_contrast_1
6,0.5565054,0.52571136,0.3234775,0.8622764,spectral_contrast_2
7,0.25817877,0.1712569,0.22602585,0.17672725,spectral_contrast_3
8,0.63997906,0.28438753,0.43134335,0.38551947,spectral_contrast_4
9,0.42100674,0.25543016,0.43164647,0.20643874,resonance_peak_amp
10,0.44433266,0.34279907,0.40064156,0.2128308,resonance_peak_freq
11,0.30195704,0.09117516,0.23786253,0.07390517,resonance_energy
12,0.87022316,0.46270147,0.48750675,0.31799555,resonance_q_factor
13,1.4026548,1.0328455,0.53831697,0.79601336,resonance_skewness
14,0.48476762,0.30397484,0.2875002,0.18508507,damping_ratio
15,0.41084117,0.3167278,0.2543063,0.21042691,high_freq_slope
16,0.24905717,0.144444,0.16944294,0.1054722,high_freq_decay_rate
17,0.38551363,0.25314754,0.14316128,0.32168895,ultra_high_ratio
18,1.2415076,1.46403,0.45808,1.7015,burst_rms
19,0.45110378,0.38652307,0.2980385,0.36775517,burst_peak
20,0.3853988,0.24109766,0.287573,0.29621443,burst_crest_factor
21,0.16314216,0.13527691,0.14237036,0.19407675,time_to_peak
22,0.8909091,0.9353622,0.53208345,1.2576095,zero_crossing_rate
23,1.0303587,0.96302605,0.49300164,0.968007,temporal_centroid
24,0.69696283,0.77487767,0.2951218,0.97499186,env_mean
25,0.8807685,0.977162,0.35510287,1.199012,env_std
26,0.58009744,0.47006315,0.24949,0.31328955,env_max
27,0.20889094,0.1219252,0.18507808,0.083970204,env_min
28,0.71253777,0.4714861,0.46314308,0.59887075,env_skew
29,0.41118756,0.3524269,0.26854992,0.5539445,env_kurtosis
30,0.4590558,0.71635556,0.36413294,1.614644,env_decay_rate
31,0.78228986,0.6318375,0.39898098,0.99120903,low_energy_ratio
32,0.33526674,0.22475839,0.32029098,0.31471187,resonance_energy_ratio
33,0.41386136,0.40719596,0.3319116,0.49927762,mid_energy_ratio
34,0.269981,0.37148982,0.1917865,0.731411,high_energy_ratio
35,0.28606772,0.21297932,0.18236797,0.3267812,ultra_high_energy_ratio
36,0.62592614,0.34782863,0.5138114,0.38729593,resonance_high_ratio
37,0.64443254,0.34697622,0.4298564,0.32570913,low_mid_ratio
