timestamp,prediction,confidence,audio_level,feature_method
1762360827.0717719,finger tip,100.0,0.00040759606,stft
1762360829.6849415,finger tip,80.0,0.0004063681,stft
1762360832.2681165,finger tip,100.0,0.00041077024,stft
1762360834.8516726,finger tip,100.0,0.00040664754,stft
1762360837.438984,finger tip,100.0,0.0004056545,stft
1762360840.0308802,finger tip,100.0,0.00040593027,stft
1762360842.6437123,finger tip,100.0,0.00040414953,stft
1762360845.230624,finger tip,100.0,0.00041062446,stft
1762360847.853688,finger tip,100.0,0.00040995693,stft
1762360850.4952192,finger tip,60.0,0.00040967227,stft
1762360853.1074636,finger tip,80.0,0.00040802447,stft
1762360855.6771126,finger tip,100.0,0.0004093673,stft
1762360858.3005056,finger tip,60.0,0.00041010464,stft
1762360860.8930619,finger middle,60.0,0.00040915812,stft
1762360863.4637241,finger middle,60.0,0.00041052012,stft
1762360866.0223289,finger blank,80.0,0.0004066741,stft
1762360868.609513,finger bottom,60.0,0.0004056032,stft
1762360871.1839929,finger bottom,60.0,0.00040934,stft
1762360873.805837,finger blank,60.0,0.0004048549,stft
1762360876.4151695,finger bottom,60.0,0.0004059625,stft
1762360879.0085466,finger bottom,80.0,0.00040255047,stft
1762360881.6131675,finger bottom,80.0,0.00040365008,stft
1762360884.1994605,finger blank,60.0,0.00040526778,stft
1762360886.7576172,finger blank,100.0,0.0004049571,stft
1762360889.3239126,finger blank,60.0,0.00040459604,stft
1762360891.8807905,finger blank,100.0,0.00040580408,stft
1762360894.489999,finger blank,100.0,0.00040546525,stft
1762360897.0859673,finger blank,80.0,0.0004043638,stft
1762360899.6509106,finger blank,80.0,0.00040525984,stft
1762360902.2083786,finger blank,80.0,0.0004079444,stft
1762360904.794236,finger blank,60.0,0.00040783946,stft
1762360907.3761432,finger bottom,60.0,0.00040394362,stft
1762360909.9306207,finger blank,80.0,0.00040691704,stft
1762360912.5515702,finger blank,80.0,0.00040945728,stft
1762360915.14196,finger blank,80.0,0.00040731134,stft
1762360917.7016747,finger blank,60.0,0.00040518685,stft
1762360920.3214884,finger blank,80.0,0.00040441495,stft
1762360922.8979454,finger blank,60.0,0.00040718337,stft
1762360925.4870179,finger blank,60.0,0.0004069539,stft
1762360928.0737376,finger bottom,80.0,0.00040149575,stft
1762360930.6557999,finger bottom,80.0,0.00040683866,stft
1762360933.1865685,finger blank,100.0,0.00040716215,stft
1762360935.7597108,finger blank,100.0,0.0004038088,stft
1762360938.3078387,finger bottom,60.0,0.00040371768,stft
1762360940.8630223,finger blank,80.0,0.00040707964,stft
1762360943.4546201,finger blank,60.0,0.00040706666,stft
1762360946.0653522,finger blank,100.0,0.00040513207,stft
1762360948.6302269,finger bottom,80.0,0.00040802103,stft
