feature_index,gradient_saliency,integrated_gradients,gradient_std,integrated_gradients_std,feature_name
0,0.5666453,0.33919173,0.57580376,0.29879016,spectral_centroid
1,1.4950517,0.82362604,1.467534,0.83005625,spectral_bandwidth
2,0.073238716,0.0,0.04773617,0.0,spectral_rolloff
3,0.58798337,0.32204962,0.63413763,0.24206632,spectral_flatness
4,0.5882055,0.14218128,0.59180564,0.13359833,spectral_contrast_0
5,0.12762524,0.07140903,0.078612745,0.069245666,spectral_contrast_1
6,0.19489238,0.093286,0.07206038,0.0666992,spectral_contrast_2
7,0.2405762,0.15514967,0.09325347,0.12780295,spectral_contrast_3
8,0.14891732,0.065897875,0.07301013,0.06677927,spectral_contrast_4
9,0.4800516,0.30159643,0.19787778,0.269641,resonance_peak_amp
10,0.08084728,0.0,0.07892455,0.0,resonance_peak_freq
11,0.37733543,0.28784388,0.1792364,0.22585362,resonance_energy
12,0.515629,0.4985578,0.2655059,0.5319073,resonance_q_factor
13,0.9974184,0.70692647,0.5365482,0.57841194,resonance_skewness
14,0.24230444,0.17005484,0.25949344,0.15208508,damping_ratio
15,0.7081545,0.5873763,0.32731968,0.6029829,high_freq_slope
16,0.61351526,0.5605379,0.35514015,0.62070763,high_freq_decay_rate
17,0.7199421,0.4258539,0.6785117,0.30815768,ultra_high_ratio
18,0.25608912,0.11591186,0.2777701,0.19084494,burst_rms
19,0.4061841,0.20653228,0.34984958,0.17381811,burst_peak
20,0.095397696,0.058667667,0.057065118,0.037700076,burst_crest_factor
21,0.3027734,0.24812219,0.3319915,0.32012427,time_to_peak
22,0.52722025,0.057764046,0.50955147,0.08900075,zero_crossing_rate
23,0.16712703,0.07841696,0.076847464,0.06666019,temporal_centroid
24,0.4277908,0.23885807,0.32454175,0.22549959,env_mean
25,0.23688431,0.22927544,0.09746692,0.15759258,env_std
26,0.20425625,0.15268488,0.12062515,0.12447589,env_max
27,0.40354022,0.19568409,0.2550309,0.15479104,env_min
28,0.14873981,0.14562154,0.10896679,0.12641138,env_skew
29,0.22953124,0.18293473,0.15095545,0.12607749,env_kurtosis
30,0.5108529,0.3236398,0.21363507,0.7227888,env_decay_rate
31,0.28568548,0.17976688,0.33467752,0.23429286,low_energy_ratio
32,0.32499915,0.2269069,0.17173924,0.20159945,resonance_energy_ratio
33,0.31682843,0.21283984,0.19541724,0.14261335,mid_energy_ratio
34,0.3520374,0.25811046,0.21133585,0.12588927,high_energy_ratio
35,0.75705653,0.41898602,0.8832639,0.42126742,ultra_high_energy_ratio
36,0.46780735,0.3569308,0.41554117,0.4691607,resonance_high_ratio
37,0.35584277,0.29691622,0.30150267,0.22972408,low_mid_ratio
38,0.05676793,0.0,0.043530487,0.0,impulse_peak
39,0.27119318,0.18765782,0.185334,0.16114284,impulse_peak_time
40,0.32391125,0.18009995,0.41640827,0.33223876,impulse_rms
41,0.7212799,0.23259833,0.68994766,0.21667308,decay_amplitude
42,0.30593085,0.21908092,0.14169292,0.14293288,decay_rate
43,0.45362353,0.26236483,0.31073254,0.21042456,primary_resonance_freq
44,0.50015664,0.33344182,0.49543506,0.4374275,primary_resonance_magnitude
45,0.20683077,0.2614587,0.15361054,0.48935172,resonance_q_factor.1
46,0.519205,0.39782506,0.1816411,0.23822989,num_resonances
47,0.33066604,0.14178921,0.2030224,0.11822564,secondary_resonance_freq
48,0.34136334,0.2094402,0.39726818,0.31807867,secondary_resonance_magnitude
49,0.76683134,0.47782454,0.67635715,0.5839488,freq_response_centroid
50,0.5850702,0.15850292,0.6603614,0.16332951,freq_response_spread
51,0.2718605,0.12662669,0.26494262,0.11932015,high_freq_energy
52,0.19537443,0.10686942,0.22499706,0.12675773,high_freq_damping
