n_features,accuracy,accuracy_std,selected_features
1,0.8950000000000001,0.04847679857416331,spectral_bandwidth
2,0.925,0.02738612787525829,"spectral_bandwidth, high_freq_decay_rate"
3,0.905,0.018708286933869726,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness"
4,0.915,0.025495097567963917,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope"
5,0.9349999999999999,0.040620192023179784,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness"
6,0.9200000000000002,0.029154759474226483,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp"
7,0.9099999999999999,0.03391164991562633,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid"
8,0.9199999999999999,0.029154759474226483,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread"
9,0.9299999999999999,0.03674234614174766,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor"
10,0.9600000000000002,0.025495097567963917,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio"
11,0.9600000000000002,0.025495097567963917,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude"
12,0.97,0.024494897427831803,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio"
13,0.97,0.024494897427831803,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio, resonance_high_ratio"
14,0.96,0.03391164991562633,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio, resonance_high_ratio, num_resonances"
15,0.97,0.024494897427831803,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio, resonance_high_ratio, num_resonances, impulse_rms"
16,0.9649999999999999,0.020000000000000018,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio, resonance_high_ratio, num_resonances, impulse_rms, env_decay_rate"
17,0.97,0.024494897427831803,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio, resonance_high_ratio, num_resonances, impulse_rms, env_decay_rate, zero_crossing_rate"
18,0.9800000000000001,0.024494897427831803,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio, resonance_high_ratio, num_resonances, impulse_rms, env_decay_rate, zero_crossing_rate, spectral_centroid"
19,0.9800000000000001,0.024494897427831803,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio, resonance_high_ratio, num_resonances, impulse_rms, env_decay_rate, zero_crossing_rate, spectral_centroid, env_mean"
20,0.975,0.022360679774997918,"spectral_bandwidth, high_freq_decay_rate, resonance_skewness, high_freq_slope, spectral_flatness, resonance_peak_amp, freq_response_centroid, freq_response_spread, resonance_q_factor, ultra_high_energy_ratio, decay_amplitude, ultra_high_ratio, resonance_high_ratio, num_resonances, impulse_rms, env_decay_rate, zero_crossing_rate, spectral_centroid, env_mean, resonance_energy_ratio"
