feature_name,accuracy_without_feature,accuracy_std,accuracy_drop,feature_index
spectral_centroid,0.96,0.01999999999999998,0.0,0
spectral_bandwidth,0.9650000000000001,0.025495097567963913,-0.0050000000000001155,1
spectral_flatness,0.9650000000000001,0.025495097567963913,-0.0050000000000001155,3
spectral_contrast_0,0.9650000000000001,0.025495097567963913,-0.0050000000000001155,4
spectral_contrast_1,0.9650000000000001,0.025495097567963913,-0.0050000000000001155,5
resonance_peak_amp,0.9650000000000001,0.025495097567963913,-0.0050000000000001155,9
spectral_contrast_2,0.9650000000000001,0.025495097567963913,-0.0050000000000001155,6
spectral_contrast_3,0.9650000000000001,0.025495097567963913,-0.0050000000000001155,7
spectral_contrast_4,0.9650000000000001,0.025495097567963913,-0.0050000000000001155,8
high_freq_damping,0.9650000000000001,0.02549509756796391,-0.0050000000000001155,52
secondary_resonance_magnitude,0.9650000000000001,0.02549509756796391,-0.0050000000000001155,48
secondary_resonance_freq,0.9650000000000001,0.02549509756796391,-0.0050000000000001155,47
ultra_high_energy_ratio,0.9650000000000001,0.02549509756796391,-0.0050000000000001155,35
num_resonances,0.9650000000000001,0.02549509756796391,-0.0050000000000001155,46
env_min,0.97,0.029154759474226494,-0.010000000000000009,27
env_max,0.97,0.029154759474226494,-0.010000000000000009,26
env_std,0.97,0.029154759474226494,-0.010000000000000009,25
spectral_rolloff,0.97,0.018708286933869722,-0.010000000000000009,2
resonance_peak_freq,0.97,0.029154759474226494,-0.010000000000000009,10
resonance_energy,0.97,0.029154759474226494,-0.010000000000000009,11
decay_amplitude,0.97,0.018708286933869726,-0.010000000000000009,41
freq_response_spread,0.97,0.018708286933869726,-0.010000000000000009,50
high_freq_energy,0.97,0.018708286933869726,-0.010000000000000009,51
primary_resonance_magnitude,0.97,0.018708286933869726,-0.010000000000000009,44
primary_resonance_freq,0.97,0.018708286933869726,-0.010000000000000009,43
env_kurtosis,0.97,0.018708286933869726,-0.010000000000000009,29
mid_energy_ratio,0.97,0.018708286933869726,-0.010000000000000009,33
freq_response_centroid,0.97,0.018708286933869726,-0.010000000000000009,49
resonance_q_factor.1,0.97,0.018708286933869726,-0.010000000000000009,45
impulse_peak_time,0.97,0.02449489742783176,-0.010000000000000009,39
decay_rate,0.97,0.018708286933869726,-0.010000000000000009,42
impulse_rms,0.97,0.018708286933869726,-0.010000000000000009,40
resonance_q_factor,0.975,0.022360679774997918,-0.015000000000000013,12
ultra_high_ratio,0.975,0.02738612787525829,-0.015000000000000013,17
high_freq_decay_rate,0.975,0.02738612787525829,-0.015000000000000013,16
damping_ratio,0.975,0.022360679774997918,-0.015000000000000013,14
resonance_skewness,0.975,0.022360679774997918,-0.015000000000000013,13
time_to_peak,0.975,0.022360679774997918,-0.015000000000000013,21
burst_crest_factor,0.975,0.022360679774997918,-0.015000000000000013,20
burst_rms,0.975,0.022360679774997918,-0.015000000000000013,18
burst_peak,0.975,0.022360679774997918,-0.015000000000000013,19
resonance_high_ratio,0.975,0.02738612787525829,-0.015000000000000013,36
high_energy_ratio,0.975,0.022360679774997918,-0.015000000000000013,34
zero_crossing_rate,0.975,0.022360679774997918,-0.015000000000000013,22
env_skew,0.975,0.022360679774997918,-0.015000000000000013,28
env_decay_rate,0.975,0.022360679774997918,-0.015000000000000013,30
env_mean,0.975,0.022360679774997918,-0.015000000000000013,24
low_energy_ratio,0.975,0.022360679774997918,-0.015000000000000013,31
resonance_energy_ratio,0.975,0.022360679774997918,-0.015000000000000013,32
impulse_peak,0.975,0.02738612787525829,-0.015000000000000013,38
temporal_centroid,0.975,0.022360679774997918,-0.015000000000000013,23
high_freq_slope,0.9800000000000001,0.018708286933869722,-0.02000000000000013,15
low_mid_ratio,0.9800000000000001,0.018708286933869722,-0.02000000000000013,37
