batch,frequency_band,freq_min_hz,freq_max_hz,classifier,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,n_samples,n_features
soft_finger_batch_4,ultra_low,20,200,random_forest,0.5,0.0,0.5,0.5,100,38
soft_finger_batch_4,ultra_low,20,200,svm_rbf,0.5,0.0,0.5,0.5,100,38
soft_finger_batch_4,ultra_low,20,200,logistic,0.5,0.0,0.5,0.5,100,38
soft_finger_batch_4,low_mid,200,500,random_forest,0.63,0.05999999999999998,0.55,0.7,100,38
soft_finger_batch_4,low_mid,200,500,svm_rbf,0.65,0.08366600265340754,0.55,0.75,100,38
soft_finger_batch_4,low_mid,200,500,logistic,0.7100000000000001,0.10198039027185568,0.55,0.85,100,38
soft_finger_batch_4,mid,500,1000,random_forest,0.6599999999999999,0.05830951894845301,0.6,0.75,100,38
soft_finger_batch_4,mid,500,1000,svm_rbf,0.6300000000000001,0.08717797887081347,0.5,0.75,100,38
soft_finger_batch_4,mid,500,1000,logistic,0.64,0.0969535971483266,0.5,0.8,100,38
soft_finger_batch_4,high_mid,1000,2000,random_forest,0.7,0.0632455532033676,0.6,0.75,100,38
soft_finger_batch_4,high_mid,1000,2000,svm_rbf,0.57,0.10770329614269006,0.4,0.7,100,38
soft_finger_batch_4,high_mid,1000,2000,logistic,0.52,0.06782329983125267,0.45,0.6,100,38
soft_finger_batch_4,high,2000,4000,random_forest,0.69,0.13190905958272922,0.45,0.8,100,38
soft_finger_batch_4,high,2000,4000,svm_rbf,0.6900000000000001,0.037416573867739396,0.65,0.75,100,38
soft_finger_batch_4,high,2000,4000,logistic,0.7,0.0632455532033676,0.65,0.8,100,38
soft_finger_batch_4,ultra_high,4000,8000,random_forest,0.78,0.06,0.7,0.85,100,38
soft_finger_batch_4,ultra_high,4000,8000,svm_rbf,0.6500000000000001,0.04472135954999579,0.6,0.7,100,38
soft_finger_batch_4,ultra_high,4000,8000,logistic,0.6699999999999999,0.06782329983125267,0.55,0.75,100,38
soft_finger_batch_4,extended,8000,20000,random_forest,0.7400000000000001,0.07348469228349534,0.65,0.85,100,38
soft_finger_batch_4,extended,8000,20000,svm_rbf,0.66,0.07348469228349536,0.6,0.75,100,38
soft_finger_batch_4,extended,8000,20000,logistic,0.66,0.09695359714832659,0.55,0.8,100,38
soft_finger_batch_4,proposed,200,2000,random_forest,0.66,0.10198039027185571,0.5,0.8,100,38
soft_finger_batch_4,proposed,200,2000,svm_rbf,0.71,0.15620499351813308,0.5,0.95,100,38
soft_finger_batch_4,proposed,200,2000,logistic,0.6799999999999999,0.08717797887081347,0.55,0.8,100,38
soft_finger_batch_4,high_combined,2000,20000,random_forest,0.78,0.05099019513592786,0.7,0.85,100,38
soft_finger_batch_4,high_combined,2000,20000,svm_rbf,0.6799999999999999,0.0812403840463596,0.55,0.8,100,38
soft_finger_batch_4,high_combined,2000,20000,logistic,0.74,0.09165151389911681,0.65,0.9,100,38
soft_finger_batch_4,mid_combined,200,4000,random_forest,0.64,0.12409673645990857,0.5,0.8,100,38
soft_finger_batch_4,mid_combined,200,4000,svm_rbf,0.6499999999999999,0.13038404810405296,0.45,0.85,100,38
soft_finger_batch_4,mid_combined,200,4000,logistic,0.68,0.10295630140987001,0.55,0.8,100,38
soft_finger_batch_4,full,200,20000,random_forest,0.75,0.1140175425099138,0.6,0.9,100,38
soft_finger_batch_4,full,200,20000,svm_rbf,0.7300000000000001,0.08717797887081348,0.6,0.85,100,38
soft_finger_batch_4,full,200,20000,logistic,0.6599999999999999,0.10198039027185568,0.55,0.85,100,38
soft_finger_batch_4,full_20_20k,20,20000,random_forest,0.8400000000000001,0.06633249580710798,0.75,0.95,100,38
soft_finger_batch_4,full_20_20k,20,20000,svm_rbf,0.79,0.09695359714832656,0.65,0.95,100,38
soft_finger_batch_4,full_20_20k,20,20000,logistic,0.76,0.09695359714832659,0.65,0.9,100,38
