feature_index,gradient_saliency,integrated_gradients,gradient_std,integrated_gradients_std,feature_name
0,0.8533651,0.7996253,0.24842009,0.41842666,spectral_centroid
1,1.0572764,0.8288328,0.19757782,0.42876655,spectral_bandwidth
2,0.042492427,0.0,0.027108312,0.0,spectral_rolloff
3,0.59808743,0.5127313,0.20314923,0.40335968,spectral_flatness
4,0.23847091,0.11486335,0.15961057,0.08758358,spectral_contrast_0
5,0.18975943,0.077939734,0.0775445,0.07095219,spectral_contrast_1
6,0.27093598,0.22461231,0.11639779,0.21026285,spectral_contrast_2
7,0.15158238,0.06388639,0.09348303,0.06725212,spectral_contrast_3
8,0.09605546,0.043191552,0.045758307,0.06603611,spectral_contrast_4
9,0.18811378,0.16678396,0.052985754,0.13874538,resonance_peak_amp
10,0.092637345,0.09282831,0.046567615,0.03753382,resonance_peak_freq
11,0.3776483,0.24443045,0.15726286,0.16392349,resonance_energy
12,0.30376375,0.112528324,0.065700985,0.104621105,resonance_q_factor
13,0.27461648,0.2883273,0.11971782,0.32641253,resonance_skewness
14,0.6431438,0.54457235,0.22474147,0.45163542,damping_ratio
15,0.24154356,0.20261662,0.14051086,0.15074404,high_freq_slope
16,0.36338252,0.28556594,0.23067597,0.23808077,high_freq_decay_rate
17,0.7625521,0.702107,0.19559419,0.3820142,ultra_high_ratio
18,0.2912626,0.19028954,0.044649914,0.11362585,burst_rms
19,0.056831025,0.057812445,0.055344433,0.09694063,burst_peak
20,0.18070686,0.14674065,0.13059214,0.21116339,burst_crest_factor
21,0.184481,0.0864564,0.056433417,0.06523755,time_to_peak
22,0.17192465,0.09011093,0.18070713,0.15463185,zero_crossing_rate
23,0.22125432,0.18869175,0.17961976,0.22029336,temporal_centroid
24,0.6226516,0.3979923,0.089148164,0.23066498,env_mean
25,0.27430984,0.20598073,0.11977121,0.1812404,env_std
26,0.11179952,0.072053045,0.098454304,0.061293885,env_max
27,0.24910322,0.11149863,0.15734406,0.084965095,env_min
28,0.10607283,0.059278138,0.049485706,0.04086277,env_skew
29,0.11586852,0.06111177,0.054032024,0.059116594,env_kurtosis
30,0.59295136,0.09954326,0.15170002,0.063755274,env_decay_rate
31,0.15193704,0.11184929,0.14055404,0.13072339,low_energy_ratio
32,0.27157623,0.16395122,0.072052985,0.077939995,resonance_energy_ratio
33,0.822176,0.7784336,0.2526215,0.46170554,mid_energy_ratio
34,0.690504,0.62592876,0.17960411,0.3421575,high_energy_ratio
35,0.6754152,0.6583748,0.21702783,0.30980462,ultra_high_energy_ratio
36,0.59937686,0.5149452,0.16003095,0.36304513,resonance_high_ratio
37,0.7209829,0.7238402,0.26074368,0.4604644,low_mid_ratio
