n_features,accuracy,accuracy_std,selected_features
1,1.0,0.0,spectral_bandwidth
2,1.0,0.0,"spectral_bandwidth, spectral_centroid"
3,1.0,0.0,"spectral_bandwidth, spectral_centroid, low_mid_ratio"
4,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio"
5,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio"
6,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio"
7,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio"
8,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate"
9,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness"
10,1.0,0.0,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio"
11,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio"
12,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean"
13,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean, resonance_energy"
14,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean, resonance_energy, burst_rms"
15,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean, resonance_energy, burst_rms, spectral_contrast_0"
16,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean, resonance_energy, burst_rms, spectral_contrast_0, resonance_q_factor"
17,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean, resonance_energy, burst_rms, spectral_contrast_0, resonance_q_factor, high_freq_slope"
18,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean, resonance_energy, burst_rms, spectral_contrast_0, resonance_q_factor, high_freq_slope, temporal_centroid"
19,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean, resonance_energy, burst_rms, spectral_contrast_0, resonance_q_factor, high_freq_slope, temporal_centroid, high_freq_decay_rate"
20,0.9933333333333334,0.01333333333333333,"spectral_bandwidth, spectral_centroid, low_mid_ratio, high_energy_ratio, resonance_high_ratio, ultra_high_ratio, ultra_high_energy_ratio, env_decay_rate, spectral_flatness, damping_ratio, mid_energy_ratio, env_mean, resonance_energy, burst_rms, spectral_contrast_0, resonance_q_factor, high_freq_slope, temporal_centroid, high_freq_decay_rate, resonance_energy_ratio"
