feature_name,accuracy_without_feature,accuracy_std,accuracy_drop,feature_index
spectral_centroid,0.9866666666666667,0.01632993161855452,0.00666666666666671,0
spectral_bandwidth,0.9866666666666667,0.01632993161855452,0.00666666666666671,1
spectral_rolloff,0.9933333333333334,0.01333333333333333,0.0,2
spectral_flatness,0.9933333333333334,0.01333333333333333,0.0,3
spectral_contrast_0,0.9933333333333334,0.01333333333333333,0.0,4
spectral_contrast_1,0.9933333333333334,0.01333333333333333,0.0,5
spectral_contrast_2,0.9933333333333334,0.01333333333333333,0.0,6
spectral_contrast_3,0.9933333333333334,0.01333333333333333,0.0,7
spectral_contrast_4,0.9933333333333334,0.01333333333333333,0.0,8
resonance_peak_amp,0.9933333333333334,0.01333333333333333,0.0,9
resonance_peak_freq,0.9933333333333334,0.01333333333333333,0.0,10
resonance_energy,0.9933333333333334,0.01333333333333333,0.0,11
resonance_q_factor,0.9933333333333334,0.01333333333333333,0.0,12
resonance_skewness,0.9933333333333334,0.01333333333333333,0.0,13
damping_ratio,0.9933333333333334,0.01333333333333333,0.0,14
high_freq_slope,0.9933333333333334,0.01333333333333333,0.0,15
high_freq_decay_rate,0.9933333333333334,0.01333333333333333,0.0,16
ultra_high_ratio,0.9933333333333334,0.01333333333333333,0.0,17
burst_rms,0.9933333333333334,0.01333333333333333,0.0,18
burst_peak,0.9933333333333334,0.01333333333333333,0.0,19
burst_crest_factor,0.9933333333333334,0.01333333333333333,0.0,20
time_to_peak,0.9933333333333334,0.01333333333333333,0.0,21
zero_crossing_rate,0.9933333333333334,0.01333333333333333,0.0,22
temporal_centroid,0.9933333333333334,0.01333333333333333,0.0,23
env_mean,0.9933333333333334,0.01333333333333333,0.0,24
env_std,0.9933333333333334,0.01333333333333333,0.0,25
env_max,0.9933333333333334,0.01333333333333333,0.0,26
env_min,0.9933333333333334,0.01333333333333333,0.0,27
env_skew,0.9933333333333334,0.01333333333333333,0.0,28
env_kurtosis,0.9933333333333334,0.01333333333333333,0.0,29
env_decay_rate,0.9933333333333334,0.01333333333333333,0.0,30
low_energy_ratio,0.9933333333333334,0.01333333333333333,0.0,31
resonance_energy_ratio,0.9933333333333334,0.01333333333333333,0.0,32
mid_energy_ratio,0.9933333333333334,0.01333333333333333,0.0,33
high_energy_ratio,0.9933333333333334,0.01333333333333333,0.0,34
ultra_high_energy_ratio,0.9933333333333334,0.01333333333333333,0.0,35
resonance_high_ratio,0.9933333333333334,0.01333333333333333,0.0,36
low_mid_ratio,0.9933333333333334,0.01333333333333333,0.0,37
impulse_peak,0.9933333333333334,0.01333333333333333,0.0,38
impulse_peak_time,0.9933333333333334,0.01333333333333333,0.0,39
impulse_rms,0.9933333333333334,0.01333333333333333,0.0,40
decay_amplitude,0.9933333333333334,0.01333333333333333,0.0,41
decay_rate,0.9933333333333334,0.01333333333333333,0.0,42
primary_resonance_freq,0.9933333333333334,0.01333333333333333,0.0,43
primary_resonance_magnitude,0.9933333333333334,0.01333333333333333,0.0,44
resonance_q_factor.1,0.9933333333333334,0.01333333333333333,0.0,45
num_resonances,0.9933333333333334,0.01333333333333333,0.0,46
secondary_resonance_freq,0.9933333333333334,0.01333333333333333,0.0,47
secondary_resonance_magnitude,0.9933333333333334,0.01333333333333333,0.0,48
freq_response_centroid,0.9933333333333334,0.01333333333333333,0.0,49
freq_response_spread,0.9933333333333334,0.01333333333333333,0.0,50
high_freq_energy,0.9933333333333334,0.01333333333333333,0.0,51
high_freq_damping,0.9933333333333334,0.01333333333333333,0.0,52
