n_features,accuracy,accuracy_std,selected_features
1,0.47000000000000003,0.060000000000000005,resonance_skewness
2,0.6599999999999999,0.019999999999999976,"resonance_skewness, temporal_centroid"
3,0.8,0.07071067811865477,"resonance_skewness, temporal_centroid, low_energy_ratio"
4,0.8099999999999999,0.07348469228349536,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean"
5,0.8400000000000001,0.05830951894845301,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor"
6,0.8400000000000001,0.048989794855663564,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std"
7,0.8400000000000001,0.048989794855663564,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms"
8,0.8200000000000001,0.03999999999999999,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4"
9,0.8200000000000001,0.03999999999999999,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate"
10,0.8300000000000001,0.024494897427831747,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew"
11,0.8300000000000001,0.024494897427831747,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth"
12,0.8300000000000001,0.024494897427831747,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy"
13,0.8400000000000001,0.037416573867739396,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy, low_mid_ratio"
14,0.85,0.031622776601683784,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy, low_mid_ratio, spectral_centroid"
15,0.8400000000000001,0.019999999999999976,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy, low_mid_ratio, spectral_centroid, burst_peak"
16,0.85,0.031622776601683784,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy, low_mid_ratio, spectral_centroid, burst_peak, high_freq_decay_rate"
17,0.85,0.031622776601683784,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy, low_mid_ratio, spectral_centroid, burst_peak, high_freq_decay_rate, impulse_rms"
18,0.85,0.031622776601683784,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy, low_mid_ratio, spectral_centroid, burst_peak, high_freq_decay_rate, impulse_rms, resonance_q_factor.1"
19,0.8400000000000001,0.037416573867739396,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy, low_mid_ratio, spectral_centroid, burst_peak, high_freq_decay_rate, impulse_rms, resonance_q_factor.1, resonance_peak_freq"
20,0.85,0.031622776601683784,"resonance_skewness, temporal_centroid, low_energy_ratio, env_mean, resonance_q_factor, env_std, burst_rms, spectral_contrast_4, zero_crossing_rate, env_skew, spectral_bandwidth, high_freq_energy, low_mid_ratio, spectral_centroid, burst_peak, high_freq_decay_rate, impulse_rms, resonance_q_factor.1, resonance_peak_freq, spectral_contrast_2"
