feature_name,accuracy_without_feature,accuracy_std,accuracy_drop,feature_index
low_mid_ratio,0.8400000000000001,0.019999999999999976,0.019999999999999907,37
resonance_peak_amp,0.8400000000000001,0.019999999999999976,0.019999999999999907,9
low_energy_ratio,0.8400000000000001,0.019999999999999976,0.019999999999999907,31
spectral_rolloff,0.85,0.031622776601683784,0.010000000000000009,2
spectral_centroid,0.85,0.031622776601683784,0.010000000000000009,0
spectral_bandwidth,0.85,0.031622776601683784,0.010000000000000009,1
spectral_contrast_1,0.85,0.031622776601683784,0.010000000000000009,5
spectral_contrast_0,0.85,0.031622776601683784,0.010000000000000009,4
spectral_flatness,0.85,0.031622776601683784,0.010000000000000009,3
spectral_contrast_2,0.85,0.031622776601683784,0.010000000000000009,6
resonance_peak_freq,0.85,0.031622776601683784,0.010000000000000009,10
resonance_energy,0.85,0.031622776601683784,0.010000000000000009,11
spectral_contrast_3,0.85,0.031622776601683784,0.010000000000000009,7
spectral_contrast_4,0.85,0.031622776601683784,0.010000000000000009,8
damping_ratio,0.85,0.031622776601683784,0.010000000000000009,14
high_freq_slope,0.85,0.031622776601683784,0.010000000000000009,15
high_freq_decay_rate,0.85,0.031622776601683784,0.010000000000000009,16
time_to_peak,0.85,0.05477225575051661,0.010000000000000009,21
temporal_centroid,0.85,0.05477225575051661,0.010000000000000009,23
zero_crossing_rate,0.85,0.05477225575051661,0.010000000000000009,22
resonance_q_factor,0.85,0.031622776601683784,0.010000000000000009,12
resonance_skewness,0.85,0.031622776601683784,0.010000000000000009,13
mid_energy_ratio,0.85,0.031622776601683784,0.010000000000000009,33
env_kurtosis,0.85,0.031622776601683784,0.010000000000000009,29
resonance_energy_ratio,0.85,0.031622776601683784,0.010000000000000009,32
env_decay_rate,0.85,0.031622776601683784,0.010000000000000009,30
env_skew,0.85,0.031622776601683784,0.010000000000000009,28
env_min,0.85,0.031622776601683784,0.010000000000000009,27
env_mean,0.85,0.031622776601683784,0.010000000000000009,24
env_max,0.85,0.031622776601683784,0.010000000000000009,26
ultra_high_energy_ratio,0.85,0.031622776601683784,0.010000000000000009,35
high_energy_ratio,0.85,0.031622776601683784,0.010000000000000009,34
resonance_high_ratio,0.85,0.031622776601683784,0.010000000000000009,36
ultra_high_ratio,0.86,0.03741657386773941,0.0,17
burst_rms,0.86,0.03741657386773941,0.0,18
burst_peak,0.86,0.020000000000000018,0.0,19
env_std,0.86,0.020000000000000018,0.0,25
burst_crest_factor,0.8699999999999999,0.024494897427831803,-0.009999999999999898,20
