feature_index,gradient_saliency,integrated_gradients,gradient_std,integrated_gradients_std,feature_name
0,0.4405697,0.59688616,0.12443913,0.596136,spectral_centroid
1,0.505386,0.6057545,0.09377689,0.57472837,spectral_bandwidth
2,0.13941404,0.0,0.06904886,0.0,spectral_rolloff
3,0.28739524,0.30020815,0.07904445,0.2742614,spectral_flatness
4,0.264031,0.34254175,0.19799975,0.34876138,spectral_contrast_0
5,0.12397528,0.077575795,0.10712143,0.11920385,spectral_contrast_1
6,0.333762,0.39062452,0.22715147,0.5249575,spectral_contrast_2
7,0.11549264,0.07736855,0.07493667,0.07012465,spectral_contrast_3
8,0.5393741,0.28675422,0.33274713,0.3335575,spectral_contrast_4
9,0.26645246,0.2264655,0.3207305,0.21687548,resonance_peak_amp
10,0.33701423,0.32523885,0.35056305,0.2546593,resonance_peak_freq
11,0.22669113,0.121190384,0.16231939,0.07584414,resonance_energy
12,0.57643086,0.3531749,0.16058765,0.23671143,resonance_q_factor
13,0.9758959,0.79759,0.16943242,0.53821003,resonance_skewness
14,0.28548363,0.22818282,0.19241998,0.116175726,damping_ratio
15,0.2034843,0.14746225,0.12921083,0.1417023,high_freq_slope
16,0.3918181,0.2823897,0.12969093,0.15608871,high_freq_decay_rate
17,0.14196602,0.12325022,0.14624424,0.1620416,ultra_high_ratio
18,0.55358344,0.6955851,0.25824064,0.61746883,burst_rms
19,0.4027545,0.35381928,0.2436726,0.3768767,burst_peak
20,0.24900031,0.20813875,0.21333508,0.31868005,burst_crest_factor
21,0.21129355,0.15572636,0.092975296,0.15227097,time_to_peak
22,0.5271779,0.5688697,0.13746619,0.51006174,zero_crossing_rate
23,0.7534962,0.69550574,0.28914195,0.47906274,temporal_centroid
24,0.59371805,0.70655507,0.2637091,0.72343165,env_mean
25,0.55744106,0.7120015,0.34809572,0.65309876,env_std
26,0.20655198,0.15813479,0.16123289,0.13235117,env_max
27,0.24113174,0.175826,0.19491129,0.12466139,env_min
28,0.52346385,0.4295171,0.14355573,0.29608065,env_skew
29,0.21333618,0.13581462,0.13172711,0.13140166,env_kurtosis
30,0.1754597,0.16265224,0.055727717,0.2717586,env_decay_rate
31,0.68683106,0.608791,0.24309276,0.6676037,low_energy_ratio
32,0.145163,0.13335788,0.08450536,0.15090585,resonance_energy_ratio
33,0.3330684,0.29077002,0.25271803,0.2952308,mid_energy_ratio
34,0.20881101,0.21652481,0.13166946,0.21175939,high_energy_ratio
35,0.09705183,0.052099057,0.06064319,0.05874026,ultra_high_energy_ratio
36,0.19771722,0.13764639,0.14494576,0.18002954,resonance_high_ratio
37,0.45278865,0.3251832,0.29838392,0.28002703,low_mid_ratio
38,0.11886237,0.0,0.1139493,0.0,impulse_peak
39,0.27053517,0.31501654,0.10707637,0.27227306,impulse_peak_time
40,0.3784795,0.32955366,0.093359575,0.15493879,impulse_rms
41,0.26661146,0.13615729,0.28272754,0.1343694,decay_amplitude
42,0.28610694,0.30065888,0.17860912,0.18333691,decay_rate
43,0.32942027,0.50554883,0.19568741,0.6414425,primary_resonance_freq
44,0.1287514,0.10689765,0.074065015,0.07929338,primary_resonance_magnitude
45,0.36182076,0.43551797,0.12019977,0.49682042,resonance_q_factor.1
46,0.15070808,0.07375191,0.14074586,0.05985067,num_resonances
47,0.08212826,0.0,0.06868194,0.0,secondary_resonance_freq
48,0.17781755,0.17426114,0.083411604,0.15626039,secondary_resonance_magnitude
49,0.1844799,0.12946126,0.09795522,0.10629738,freq_response_centroid
50,0.13508388,0.090843804,0.07877799,0.05516292,freq_response_spread
51,0.50327396,0.41537443,0.21687284,0.35256612,high_freq_energy
52,0.1886056,0.12151971,0.12773551,0.1003274,high_freq_damping
