n_features,accuracy,accuracy_std,selected_features
1,0.9800000000000001,0.029154759474226483,ultra_high_energy_ratio
2,0.9800000000000001,0.029154759474226483,"ultra_high_energy_ratio, spectral_centroid"
3,0.9800000000000001,0.029154759474226483,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio"
4,0.975,0.031622776601683784,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio"
5,0.975,0.02738612787525829,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio"
6,0.9800000000000001,0.029154759474226483,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio"
7,0.9800000000000001,0.029154759474226483,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio"
8,0.985,0.02999999999999998,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid"
9,0.9800000000000001,0.029154759474226483,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew"
10,0.9800000000000001,0.029154759474226483,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms"
11,0.9949999999999999,0.010000000000000009,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis"
12,0.985,0.02999999999999998,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio"
13,0.9800000000000001,0.029154759474226483,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio, spectral_bandwidth"
14,0.985,0.02999999999999998,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio, spectral_bandwidth, burst_crest_factor"
15,0.9949999999999999,0.010000000000000009,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio, spectral_bandwidth, burst_crest_factor, high_freq_decay_rate"
16,0.985,0.020000000000000018,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio, spectral_bandwidth, burst_crest_factor, high_freq_decay_rate, high_freq_slope"
17,0.985,0.02999999999999998,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio, spectral_bandwidth, burst_crest_factor, high_freq_decay_rate, high_freq_slope, time_to_peak"
18,0.985,0.020000000000000018,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio, spectral_bandwidth, burst_crest_factor, high_freq_decay_rate, high_freq_slope, time_to_peak, spectral_flatness"
19,0.9949999999999999,0.010000000000000009,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio, spectral_bandwidth, burst_crest_factor, high_freq_decay_rate, high_freq_slope, time_to_peak, spectral_flatness, env_std"
20,0.985,0.020000000000000018,"ultra_high_energy_ratio, spectral_centroid, high_energy_ratio, mid_energy_ratio, ultra_high_ratio, low_mid_ratio, damping_ratio, temporal_centroid, env_skew, burst_rms, env_kurtosis, resonance_high_ratio, spectral_bandwidth, burst_crest_factor, high_freq_decay_rate, high_freq_slope, time_to_peak, spectral_flatness, env_std, resonance_energy_ratio"
