feature_index,gradient_saliency,integrated_gradients,gradient_std,integrated_gradients_std,feature_name
0,0.82370746,0.5359684,0.3232855,0.44967672,spectral_centroid
1,0.11333798,0.10179237,0.09007043,0.141917,spectral_bandwidth
2,0.07006102,0.0,0.040794633,0.0,spectral_rolloff
3,0.47817716,0.21524796,0.2711736,0.1192365,spectral_flatness
4,0.2688113,0.08589851,0.24115919,0.1331815,spectral_contrast_0
5,0.35549057,0.13930812,0.3006912,0.18722726,spectral_contrast_1
6,0.27396947,0.14798377,0.1716106,0.1276305,spectral_contrast_2
7,0.37102252,0.27230948,0.22413996,0.34121603,spectral_contrast_3
8,0.3451328,0.36016825,0.23406415,0.31668255,spectral_contrast_4
9,0.14062327,0.073640645,0.0958875,0.06642032,resonance_peak_amp
10,0.36566967,0.2713197,0.19182593,0.21772012,resonance_peak_freq
11,0.25550538,0.19037649,0.1685243,0.1511679,resonance_energy
12,0.32229057,0.13495132,0.2092037,0.111238606,resonance_q_factor
13,0.2766234,0.20126458,0.38469306,0.18656673,resonance_skewness
14,0.6952851,0.5448079,0.3438751,0.41342255,damping_ratio
15,0.3144129,0.11260378,0.16340773,0.10916316,high_freq_slope
16,0.5241203,0.13382782,0.139659,0.072185315,high_freq_decay_rate
17,0.7865048,0.6747905,0.60529983,0.6458119,ultra_high_ratio
18,0.31765532,0.17604697,0.1808017,0.17753278,burst_rms
19,0.3466606,0.15412967,0.16405267,0.1349983,burst_peak
20,0.25916943,0.20004287,0.1268678,0.11628616,burst_crest_factor
21,0.68181914,0.37146538,0.25216362,0.19022177,time_to_peak
22,0.22378346,0.201407,0.2202697,0.19624579,zero_crossing_rate
23,0.8007088,0.21917064,0.5346698,0.23968193,temporal_centroid
24,0.4711933,0.17920983,0.32830992,0.16784088,env_mean
25,0.3230466,0.17230189,0.20990247,0.12418864,env_std
26,0.3329781,0.18757768,0.11420608,0.1110563,env_max
27,0.5288739,0.5970818,0.3805089,0.6100038,env_min
28,0.22601838,0.09023478,0.17885257,0.060945705,env_skew
29,0.30968976,0.16755863,0.19753914,0.13672216,env_kurtosis
30,0.47346097,0.3022684,0.19970769,0.26585907,env_decay_rate
31,1.0266927,0.3814085,0.4546144,0.30942723,low_energy_ratio
32,0.24325307,0.15046655,0.12971751,0.13439196,resonance_energy_ratio
33,0.9908619,0.74152696,0.5142498,0.58566725,mid_energy_ratio
34,0.7585119,0.5966787,0.44962153,0.51689464,high_energy_ratio
35,0.88023293,0.6764914,0.5617757,0.744335,ultra_high_energy_ratio
36,1.0866256,0.94851047,0.87507856,0.8021934,resonance_high_ratio
37,1.0170763,0.8537871,0.7563841,0.8732116,low_mid_ratio
