tsne_1,tsne_2,pca_1,pca_2,simplified_label,original_label
-7.7360554,-0.09053528,-6.615009456822258,0.008031207624757588,tip,finger tip
-6.912699,-1.4776468,-5.299069011456749,-0.469890935975965,tip,finger tip
-5.915768,1.9990569,-4.957811325161137,0.5909956082876373,tip,finger tip
-7.5328293,0.7704898,-6.580998741608894,-0.013806602712671152,tip,finger tip
-7.225128,1.2236664,-6.35958206332123,0.01775810232177226,tip,finger tip
-7.164799,-0.38266888,-5.941464337499167,-0.40308454506540375,tip,finger tip
-7.6061325,1.6943778,-6.682251099355063,0.5287215653041756,tip,finger tip
-9.37437,0.23730263,-5.895081299772903,0.27937450176646733,tip,finger tip
-7.24257,-0.026044726,-6.18364493062564,0.05304507193175135,tip,finger tip
-8.608977,-0.9800773,-6.6616872477900095,-2.3605850508941124,tip,finger tip
-5.6463346,-0.37340182,-4.574515237558967,0.6904315030096716,tip,finger tip
-6.8894653,1.542924,-5.544832072209744,1.7271650321955918,tip,finger tip
-6.847094,-1.3418139,-5.7948740469141455,-0.7957157753639039,tip,finger tip
-7.2563434,-0.93274045,-5.68988388864526,-1.7314010694815718,tip,finger tip
-8.36967,-0.07250166,-6.497605378278115,0.31024674166949673,tip,finger tip
-7.157672,0.42481694,-5.496455579212956,-1.7182506426090998,tip,finger tip
-7.858906,0.81831235,-6.476899315141321,-0.9409841010484361,tip,finger tip
-7.047865,-0.38530424,-5.570472973975065,-1.181639160681831,tip,finger tip
-8.121667,0.5032729,-6.9166150608663814,-0.9203343255793829,tip,finger tip
-6.2932215,-0.858789,-5.439705502018303,-0.5847151814448326,tip,finger tip
-7.5344453,1.3137072,-6.283464929860563,-0.1876880738300915,tip,finger tip
-7.7174516,-1.625568,-5.952223494766074,0.3287462819158106,tip,finger tip
-7.1689425,-0.73179984,-5.515651262661221,-0.4468633037101885,tip,finger tip
-6.340537,-0.24181524,-5.446261602508852,0.6385616520540358,tip,finger tip
-6.3332033,-1.0970904,-5.040723866285003,-0.1100502099288661,tip,finger tip
-8.413947,1.2517598,-6.457365774055377,0.4392338643180499,tip,finger tip
-6.7347345,1.1863018,-6.027090900591232,1.0167737163267343,tip,finger tip
-7.0341134,-0.1588242,-5.32413931873926,-1.0789659758129646,tip,finger tip
-8.402479,0.6747764,-6.591301871228366,-1.810533442297167,tip,finger tip
-5.7214637,-0.7824436,-4.566371582159202,-0.8942853144604945,tip,finger tip
-7.8010917,0.4405475,-6.552779728187675,-1.2233063232086585,tip,finger tip
-5.815325,-0.60287166,-5.004624442203991,0.3240008456658197,tip,finger tip
-6.553775,0.22637711,-4.8071399688846705,-1.4616084063625934,tip,finger tip
-7.61633,1.3500565,-6.565471751892009,0.43359372959614156,tip,finger tip
-6.2656,0.010208718,-4.595886261026264,-2.1278673459735375,tip,finger tip
-8.220936,-0.36017832,-6.721217163185118,-1.1851332287075842,tip,finger tip
-7.627077,1.180612,-6.340549441071061,0.2031271869704131,tip,finger tip
-7.342009,2.178659,-6.0265164187888685,0.22570487396237265,tip,finger tip
-7.3077493,-1.5807439,-5.163942512903579,-0.18931755566068975,tip,finger tip
-7.6560473,1.3973358,-6.31304010923644,-0.24758679750577653,tip,finger tip
-8.103277,0.25293016,-6.498746016375554,-1.383112957718597,tip,finger tip
-7.1509495,-0.020631518,-5.8540882990562775,-0.3052138390841831,tip,finger tip
-8.935907,-1.2695369,-6.847465972836971,-1.5799718146780652,tip,finger tip
-7.5059385,-0.60462373,-5.285372064847448,-2.0816566056269896,tip,finger tip
-8.285499,0.2508347,-6.019932170366876,0.550178089188886,tip,finger tip
-8.450835,1.008489,-6.86895235692947,-0.37602519726174777,tip,finger tip
-3.8878226,-3.8299541,-5.734880752422334,8.134754894861718,tip,finger tip
-8.053999,-1.5148358,-6.701410534221944,-0.5977799803608753,tip,finger tip
-8.290127,-0.8976021,-6.518613639657357,-0.19632660569817578,tip,finger tip
-7.7906203,-0.49150944,-6.3572000996496305,-1.510332387101719,tip,finger tip
-3.8392835,-3.8192866,-2.977622647716655,7.80746974207612,middle,finger middle
-0.25563598,-0.43360484,0.16392955244841292,1.3535704752400006,middle,finger middle
-5.1476517,-0.48539612,-3.6566839805496723,-0.3944261745061146,middle,finger middle
-5.518844,-1.0115745,-3.838129116626848,-0.9466410870210498,middle,finger middle
-1.3781654,0.46923953,-1.4519752097816765,2.2917357839753874,middle,finger middle
-5.8182654,-1.6542604,-3.5807423308734645,-1.5653732041947204,middle,finger middle
-4.5253906,-0.84453154,-3.676154937196136,0.44565064359433526,middle,finger middle
-1.1680175,-2.074168,-0.7747438713969649,-0.8272544275942555,middle,finger middle
-3.461332,-0.7476758,-2.140203481912564,-0.4422176474334783,middle,finger middle
-1.6316693,-0.22679605,-1.1419941391442157,1.2628266760425242,middle,finger middle
-4.8633814,-0.09585392,-3.2287442515394797,-0.7438842825574457,middle,finger middle
-2.586137,-0.17960519,-2.148129080494743,1.9854073142449709,middle,finger middle
-2.1105165,-1.5976592,-1.8878499836941698,0.25138258799453966,middle,finger middle
-4.60864,-1.4747596,-3.6466368535545204,0.1845858660648687,middle,finger middle
-4.649274,0.742293,-3.1777677623606038,0.3840394246269596,middle,finger middle
-0.7769536,-1.8060075,-0.2972997164775088,-0.07425390478396741,middle,finger middle
-3.3269808,0.5670011,-1.2938445916887547,-0.314230816600627,middle,finger middle
-2.5152311,-0.6283177,-2.224000727904307,1.4248502307693796,middle,finger middle
-4.4077306,1.3222256,-3.8486989081469334,0.00933494251111685,middle,finger middle
-5.1539583,-0.9245817,-3.632153496398852,-0.7838695572178116,middle,finger middle
-5.3126545,-0.063974716,-3.942202428125947,-0.49735386139361637,middle,finger middle
-4.8184586,-1.4777688,-3.775680326441138,-1.4255521641638478,middle,finger middle
-1.8950841,-0.23462774,-1.3264846054763606,1.8298735238920456,middle,finger middle
-4.4612174,-0.24600114,-3.3702475753700267,-0.2118478738429179,middle,finger middle
-1.6114881,0.95190895,-1.7770030300179174,0.3106613461572373,middle,finger middle
-4.049207,-1.2154055,-2.3186205003050464,-0.5405823399114057,middle,finger middle
-0.4785553,0.5777975,-0.14429430786290723,1.7442002559535201,middle,finger middle
-4.146599,-1.7036666,-2.7642659773863563,-0.2698308671464971,middle,finger middle
-5.270176,-0.666927,-3.8475540656993377,-0.32685002379832506,middle,finger middle
-4.308663,-0.25294477,-3.5093943573009994,1.2984238423223275,middle,finger middle
-2.7874596,-0.8680147,-1.9065556016280045,0.5125074697470681,middle,finger middle
-5.4377437,0.44549048,-3.7463619069450718,-1.9385561464598857,middle,finger middle
-2.7983863,-0.21343914,-2.579405488545664,1.5103660021641254,middle,finger middle
0.21840797,-0.56924623,0.1840446104842611,-0.33807309813870035,middle,finger middle
-1.1283087,-0.6587916,-1.0659238031390164,-0.20247875908249893,middle,finger middle
-5.1243005,-1.9548362,-3.580663162692571,-2.9802746521168353,middle,finger middle
-0.84608537,-0.41749275,-0.37665003603943525,0.7220025494612605,middle,finger middle
-3.6402073,-0.14788552,-1.6619735224418406,-0.10417019130112251,middle,finger middle
-0.8921427,-1.4392133,-0.3666483388514449,1.097447980236721,middle,finger middle
-1.4605758,-1.6108543,-1.4508038277686808,0.4253100847076438,middle,finger middle
-1.5524663,-0.28236184,-1.311989868654454,1.1129352371499244,middle,finger middle
-1.4656256,-1.4991492,-1.3548718677266742,0.40886007474332425,middle,finger middle
-5.2854056,1.2474099,-3.8128420940645595,0.937129607899352,middle,finger middle
-5.5946836,-2.2520807,-3.1448717129043167,-1.2498858272672857,middle,finger middle
-4.9685173,0.83379793,-3.6571543352594973,0.6077697042851017,middle,finger middle
-5.5764155,-1.7495731,-3.8256800641218596,-2.3418444080372174,middle,finger middle
-1.7795231,0.20069835,-1.9567179707063762,1.6973240783384789,middle,finger middle
-2.8803356,-0.11160918,-2.322538299820325,1.194483153463025,middle,finger middle
-0.78075767,-0.9714996,-0.17327259991886465,-0.7280184250547411,middle,finger middle
-5.2588754,0.3447395,-4.0628350643615905,-0.3266977172549778,middle,finger middle
5.432905,0.16981272,4.022687063927187,0.7666261813790793,base,finger bottom
0.82266295,-1.8917524,0.9517177352665155,-0.23266168070277576,base,finger bottom
5.413449,-1.0435259,3.493052064703471,0.612539589897982,base,finger bottom
4.0079346,-0.31243297,2.0200499327235297,-0.5683706429184933,base,finger bottom
6.011788,-0.5941631,3.3307294384157315,-0.3399566738009502,base,finger bottom
0.037264805,1.7762824,1.5057505436826253,8.77327339141417,base,finger bottom
4.9972615,-1.4950031,3.733496377769266,0.67326393148467,base,finger bottom
5.3631487,-0.6850899,3.557369406307768,-1.5073757085781836,base,finger bottom
-0.050288524,-1.213344,0.4702573941313255,0.5385867190416468,base,finger bottom
0.08174517,-1.2553806,1.2212033809964002,-0.07109059920082712,base,finger bottom
0.9176261,-0.1675368,0.807395866949826,0.6254551535569202,base,finger bottom
1.2394464,1.151805,2.4864659485409075,1.9534945958346008,base,finger bottom
5.7386727,-1.2737057,3.7476511594341124,0.6936366455852512,base,finger bottom
4.487847,-0.6522268,3.1910589360080484,-0.285494449546203,base,finger bottom
5.1912017,1.4445984,3.0971004815638743,-1.127319055006699,base,finger bottom
-0.36092457,-1.8545197,0.31139583344015226,0.019456224452168075,base,finger bottom
5.3822165,-0.04991037,3.694497780393552,-1.3241240867000235,base,finger bottom
5.070047,-1.7446133,3.251576128801919,-0.13833589314785885,base,finger bottom
-0.6774645,0.15626869,-0.07477258084496836,1.4722360684431843,base,finger bottom
4.7384696,1.3942639,3.82187610403379,-1.1019843001818832,base,finger bottom
-0.45042926,0.31725535,0.3173398938249987,1.270630986904382,base,finger bottom
-0.29532963,-0.013185165,-0.04524066818532527,-0.3080905934499255,base,finger bottom
4.6634645,0.45509166,3.661191316852566,-0.5266488514588357,base,finger bottom
4.5921507,-0.24514674,3.437970181120969,0.1855450482288152,base,finger bottom
5.853157,1.2429775,3.6394309753610727,-2.317547503996788,base,finger bottom
-0.48424503,0.07040738,0.280019863952744,1.174596913570545,base,finger bottom
5.6488075,-1.2815609,3.5616709257911148,-0.8821335889347752,base,finger bottom
-0.095406175,-1.4547808,0.6052096357827583,-0.5522723399451486,base,finger bottom
-0.11857219,-1.7084944,0.4677571906529648,-0.554078786013767,base,finger bottom
5.5324316,-0.86728704,3.5639508105260975,-1.6734820988615242,base,finger bottom
-0.10918842,-1.3040936,0.7453148012118113,0.5496737678531649,base,finger bottom
1.3004072,-1.066691,1.133440430600028,-0.7389124351174046,base,finger bottom
5.032367,0.21374033,3.010897344754433,-0.06666133391552767,base,finger bottom
4.1504073,-0.40973115,2.732821118620281,-0.4736586350867712,base,finger bottom
4.798456,0.17054816,3.4474259373435343,-0.18048473347119925,base,finger bottom
5.0377007,-1.1435494,3.238746329223145,0.060198758404319805,base,finger bottom
0.56306237,0.3890586,1.1374983095186368,0.8060643629149339,base,finger bottom
5.974293,0.11600054,3.7622163815401404,-1.053800632502959,base,finger bottom
4.409121,-0.68890506,2.7813630823899427,0.7989298854486117,base,finger bottom
0.50818914,-0.083211385,0.8753991793978352,1.4038791589017698,base,finger bottom
4.542529,0.1767371,3.6687477175618612,0.515146394017542,base,finger bottom
-0.05155523,-1.178701,0.5832738795316658,0.46293508445041265,base,finger bottom
-0.09359306,0.5465243,0.431158071344695,0.22366374663692595,base,finger bottom
4.547675,-0.32641384,3.207426916337325,0.45501183673934265,base,finger bottom
-0.60329056,-0.52497154,0.10601428597885772,0.1050311158781644,base,finger bottom
0.4126081,0.16801071,0.7038504889051886,-0.29034053200096277,base,finger bottom
6.4223485,0.6665217,4.17017167504185,-0.04542278449513314,base,finger bottom
1.2208064,-0.44669265,0.8344366589706511,0.8729871785345789,base,finger bottom
0.08418145,-0.31309438,0.8590239154257449,0.46726036005863886,base,finger bottom
0.47084892,-1.1431485,1.1386028463086513,1.9308233094510048,base,finger bottom
7.2498937,-0.2660754,6.158537168988096,-0.3547520137802496,none,finger blank
6.0007977,-0.3624663,4.192925546648838,-1.8878798780232415,none,finger blank
8.089272,1.2819042,6.202376123346798,-2.177017503304695,none,finger blank
8.015213,0.92997444,6.230006074129124,-0.5649874554254845,none,finger blank
7.286778,-0.99545425,6.124950499910336,-0.16488447935799583,none,finger blank
6.125783,0.26233435,4.284783916350282,-0.3498934728394043,none,finger blank
8.141116,-0.3852222,6.774563973240945,0.3224960813363621,none,finger blank
7.7519274,-0.7584282,6.615733779753374,0.41692297754965446,none,finger blank
7.776844,-0.15193361,6.260488879745546,0.0575517854872605,none,finger blank
8.902274,-0.8438943,6.169430999143958,-0.06471707840457103,none,finger blank
7.6063633,-0.35958952,6.127754077097451,-0.7683809674394178,none,finger blank
7.404011,-2.6873174,6.611659405207842,-1.7056294406558794,none,finger blank
6.6675577,-2.2230706,6.0479778416401375,-1.3260273553749264,none,finger blank
7.5120115,0.68659234,5.956120768745205,-0.5751938064158079,none,finger blank
8.1311865,-0.9559136,6.2323005960653735,-0.028018936726956135,none,finger blank
7.7539845,-1.6756487,5.827864756683442,-0.35487454992734746,none,finger blank
8.803742,-1.5286741,6.181665092112254,-0.09613226317401376,none,finger blank
8.478664,0.27459806,6.068605958008581,-1.860194824836848,none,finger blank
8.1315975,-0.25900254,6.400543640879935,-0.4403162108162982,none,finger blank
7.6319747,0.87861884,6.089242843866413,-1.624274968076345,none,finger blank
9.2574215,-1.1020654,6.441833511849045,1.1400572907989848,none,finger blank
8.566116,-1.4562694,6.411665203469761,-1.2017224759572747,none,finger blank
8.662151,-0.63509566,6.768382387761481,0.3046906256282624,none,finger blank
8.316528,-1.0800385,6.420834016226901,-1.023534208900519,none,finger blank
7.3399305,-0.32228813,6.08419476006044,-0.542082221334576,none,finger blank
7.518139,-1.3284708,6.036091037610557,-0.6591779117262189,none,finger blank
7.621503,-0.9871805,6.386345541082115,0.18345765216366772,none,finger blank
8.59928,-2.2218528,6.428566864869988,-1.1605769134024897,none,finger blank
7.7877865,1.0688126,5.964685233681635,0.5271039936867858,none,finger blank
8.068167,-0.7973149,6.250168798522874,-0.3228309434961811,none,finger blank
10.062204,-1.5773113,4.887840513227244,6.63671131207666,none,finger blank
8.045169,1.2495569,6.767498118412642,0.3748736560266327,none,finger blank
8.030691,-1.0949111,6.348347699587871,-1.0112490796182239,none,finger blank
8.859678,-0.15146878,6.361231089933748,0.015368121509925121,none,finger blank
7.383617,0.63187367,5.858082684725754,-0.023422143417390184,none,finger blank
7.444396,-0.10401605,6.130438107291763,0.8806993168695643,none,finger blank
7.042923,-0.6980347,5.838981551224572,0.053050286674008205,none,finger blank
7.595663,-1.0138357,6.161507040672337,-0.056771863234300675,none,finger blank
8.26499,-0.9321864,6.279759641169232,0.8631688803987473,none,finger blank
7.000614,2.2170346,6.112634006110231,5.219009811714611,none,finger blank
8.514338,-2.0691533,6.538015574272048,-1.809568101988384,none,finger blank
8.221919,-1.8677192,6.485381124373069,-1.3657645065709927,none,finger blank
7.5772924,1.0477964,6.179778220355556,-2.1013143685109403,none,finger blank
8.313989,-0.9730626,6.506913252437968,1.2902648209334084,none,finger blank
8.8572855,-0.7198305,6.62758100883745,-0.11110027754275685,none,finger blank
8.635779,-1.7396095,6.543393213987737,-0.26520867516394314,none,finger blank
8.842739,0.3446272,6.275841391842875,-2.3272369526285033,none,finger blank
7.14571,-1.4594237,6.170161507637842,-0.0759197119201922,none,finger blank
7.381941,0.0007163472,6.01442926505236,-1.1112566788356377,none,finger blank
6.9946156,-0.7386547,6.033987739151314,0.5533943020180907,none,finger blank
