feature_name,accuracy_without_feature,accuracy_std,accuracy_drop,feature_index
spectral_bandwidth,0.96,0.025495097567963917,0.010000000000000009,1
high_energy_ratio,0.96,0.033911649915626334,0.010000000000000009,34
spectral_centroid,0.9650000000000001,0.025495097567963913,0.004999999999999893,0
spectral_rolloff,0.97,0.02449489742783176,0.0,2
spectral_contrast_0,0.97,0.029154759474226494,0.0,4
spectral_flatness,0.97,0.02449489742783176,0.0,3
spectral_contrast_1,0.97,0.029154759474226494,0.0,5
spectral_contrast_2,0.97,0.029154759474226494,0.0,6
spectral_contrast_4,0.97,0.029154759474226494,0.0,8
spectral_contrast_3,0.97,0.029154759474226494,0.0,7
resonance_peak_freq,0.97,0.029154759474226494,0.0,10
resonance_energy,0.97,0.029154759474226494,0.0,11
resonance_q_factor,0.97,0.029154759474226494,0.0,12
resonance_peak_amp,0.97,0.029154759474226494,0.0,9
damping_ratio,0.97,0.029154759474226494,0.0,14
high_freq_slope,0.97,0.029154759474226494,0.0,15
high_freq_decay_rate,0.97,0.029154759474226494,0.0,16
ultra_high_ratio,0.97,0.029154759474226494,0.0,17
ultra_high_energy_ratio,0.97,0.02449489742783176,0.0,35
resonance_skewness,0.97,0.029154759474226494,0.0,13
env_mean,0.975,0.02738612787525829,-0.0050000000000000044,24
temporal_centroid,0.975,0.02738612787525829,-0.0050000000000000044,23
low_mid_ratio,0.975,0.01581138830084191,-0.0050000000000000044,37
mid_energy_ratio,0.975,0.01581138830084191,-0.0050000000000000044,33
low_energy_ratio,0.975,0.02738612787525829,-0.0050000000000000044,31
resonance_energy_ratio,0.975,0.01581138830084191,-0.0050000000000000044,32
env_skew,0.975,0.02738612787525829,-0.0050000000000000044,28
env_min,0.975,0.02738612787525829,-0.0050000000000000044,27
env_std,0.975,0.02738612787525829,-0.0050000000000000044,25
env_max,0.975,0.02738612787525829,-0.0050000000000000044,26
time_to_peak,0.9800000000000001,0.018708286933869722,-0.01000000000000012,21
burst_crest_factor,0.9800000000000001,0.018708286933869722,-0.01000000000000012,20
burst_peak,0.9800000000000001,0.018708286933869722,-0.01000000000000012,19
burst_rms,0.9800000000000001,0.018708286933869722,-0.01000000000000012,18
env_kurtosis,0.9800000000000001,0.018708286933869722,-0.01000000000000012,29
zero_crossing_rate,0.9800000000000001,0.018708286933869722,-0.01000000000000012,22
env_decay_rate,0.9800000000000001,0.018708286933869722,-0.01000000000000012,30
resonance_high_ratio,0.9800000000000001,0.018708286933869722,-0.01000000000000012,36
