feature_index,gradient_saliency,integrated_gradients,gradient_std,integrated_gradients_std,feature_name
0,0.3386291,0.23708527,0.21351801,0.248142,spectral_centroid
1,1.2141128,0.8441092,0.57562906,0.7300852,spectral_bandwidth
2,0.08341503,0.0,0.048144054,0.0,spectral_rolloff
3,0.41883335,0.32696813,0.21912551,0.18511567,spectral_flatness
4,0.5605242,0.18122137,0.14288653,0.071780205,spectral_contrast_0
5,0.15388218,0.068365276,0.084046185,0.04121831,spectral_contrast_1
6,0.119395,0.074421525,0.07483888,0.071311995,spectral_contrast_2
7,0.17240329,0.115514375,0.09555335,0.09674861,spectral_contrast_3
8,0.24664557,0.13485757,0.17002788,0.11953185,spectral_contrast_4
9,0.40596867,0.2737617,0.25667706,0.24613772,resonance_peak_amp
10,0.10330802,0.0,0.040345512,0.0,resonance_peak_freq
11,0.31782144,0.23258297,0.17534938,0.13880819,resonance_energy
12,0.23864897,0.26044318,0.15916675,0.30212772,resonance_q_factor
13,0.68939626,0.64927536,0.17663617,0.5877131,resonance_skewness
14,0.2282081,0.12656423,0.23998877,0.17141803,damping_ratio
15,0.71244305,0.61891747,0.41648245,0.5754664,high_freq_slope
16,0.6262115,0.5686687,0.45059282,0.616893,high_freq_decay_rate
17,0.44749928,0.2961242,0.35833737,0.30715862,ultra_high_ratio
18,0.14390391,0.09998201,0.10020641,0.09201417,burst_rms
19,0.1652349,0.116231546,0.1351925,0.14393446,burst_peak
20,0.17220493,0.101773635,0.098292544,0.086282864,burst_crest_factor
21,0.26613346,0.326859,0.21902563,0.27050743,time_to_peak
22,0.37350383,0.059452873,0.33416197,0.08288404,zero_crossing_rate
23,0.24471939,0.10790752,0.1525635,0.08507541,temporal_centroid
24,0.34607667,0.26301914,0.24750642,0.2574397,env_mean
25,0.070496365,0.07966551,0.04754526,0.08263847,env_std
26,0.34591573,0.24648902,0.18263228,0.15782946,env_max
27,0.20850384,0.12508929,0.06798338,0.08913018,env_min
28,0.24744526,0.20484027,0.1171357,0.09794689,env_skew
29,0.38282803,0.27945432,0.14718358,0.076318204,env_kurtosis
30,0.58582985,0.2877366,0.22528177,0.5500594,env_decay_rate
31,0.16087684,0.14010185,0.1492721,0.08321229,low_energy_ratio
32,0.4073538,0.32635817,0.20848542,0.23848611,resonance_energy_ratio
33,0.25364363,0.23174758,0.13780354,0.11359768,mid_energy_ratio
34,0.34427732,0.27663785,0.17196903,0.14309126,high_energy_ratio
35,0.5967612,0.4568264,0.29998684,0.2938319,ultra_high_energy_ratio
36,0.2822418,0.30453497,0.22114308,0.23442703,resonance_high_ratio
37,0.34934652,0.35263267,0.16654107,0.158287,low_mid_ratio
